"te","scenario","rung","method","n_reps","Psi","bias","emp_sd","mean_se","se_ratio","coverage","mcse_cov","reject_rate","mcse_reject","deff_clust","icc_eif"
0.3,"R1","L4_aggressive","Fully-Aware",1000,0.0362,0.076,0.1218,0.0167,0.1374,0.318,0.0147,0.733,0.014,1.3245,0.0187
0.3,"R1","L4_aggressive","Fully-Aware-CF",1000,0.0362,0.0095,0.0301,0.0422,1.4011,0.991,0.003,0.086,0.0089,1.3245,0.0187
0.3,"R1","L4_aggressive","Partially-Aware",1000,0.0362,0.076,0.1218,0.0147,0.1207,0.267,0.014,0.778,0.0131,1.3245,0.0187
0.3,"R1","L4_aggressive","Non-Aware",1000,0.0362,0.0723,0.0525,0.0118,0.224,0.14,0.011,0.945,0.0072,1.3245,0.0187
0.3,"standard","L1_param","Fully-Aware",1000,0.0361,0.0196,0.0366,0.038,1.0366,0.941,0.0075,0.273,0.0141,1.2483,0.0265
0.3,"standard","L1_param","Fully-Aware-CF",1000,0.0361,0.0189,0.0375,0.0396,1.0552,0.944,0.0073,0.247,0.0136,1.2483,0.0265
0.3,"standard","L1_param","Partially-Aware",1000,0.0361,0.0196,0.0366,0.0343,0.9362,0.903,0.0094,0.359,0.0152,1.2483,0.0265
0.3,"standard","L1_param","Non-Aware",1000,0.0361,0.0157,0.0364,0.0232,0.6368,0.743,0.0138,0.575,0.0156,1.2483,0.0265
0.3,"standard","L2_smooth","Fully-Aware",1000,0.0361,0.0127,0.0365,0.0372,1.0189,0.947,0.0071,0.223,0.0132,1.2475,0.0265
0.3,"standard","L2_smooth","Fully-Aware-CF",1000,0.0361,0.0141,0.037,0.0398,1.0747,0.96,0.0062,0.196,0.0126,1.2475,0.0265
0.3,"standard","L2_smooth","Fully-Aware-CV",1000,0.0361,0.0104,0.0367,0.0377,1.0262,0.953,0.0067,0.191,0.0124,1.2475,0.0265
0.3,"standard","L2_smooth","Partially-Aware",1000,0.0361,0.0127,0.0365,0.0336,0.9207,0.921,0.0085,0.294,0.0144,1.2475,0.0265
0.3,"standard","L2_smooth","Non-Aware",1000,0.0361,0.0108,0.0362,0.0229,0.6335,0.762,0.0135,0.516,0.0158,1.2475,0.0265
0.3,"standard","L3_adaptive","Fully-Aware",1000,0.0361,0.014,0.0372,0.0336,0.9033,0.902,0.0094,0.309,0.0146,1.2814,0.025
0.3,"standard","L3_adaptive","Fully-Aware-CF",1000,0.0361,0.0134,0.0372,0.0395,1.0636,0.954,0.0066,0.204,0.0127,1.2814,0.025
0.3,"standard","L3_adaptive","Fully-Aware-CV",1000,0.0361,0.0122,0.0368,0.0276,0.7504,0.846,0.0114,0.412,0.0156,1.2814,0.025
0.3,"standard","L3_adaptive","Partially-Aware",1000,0.0361,0.014,0.0372,0.03,0.8062,0.87,0.0106,0.397,0.0155,1.2814,0.025
0.3,"standard","L3_adaptive","Non-Aware",1000,0.0361,0.0113,0.0363,0.0215,0.5928,0.734,0.014,0.554,0.0157,1.2814,0.025
0.3,"standard","L4_aggressive","Fully-Aware",1000,0.0361,0.0834,0.145,0.0217,0.15,0.295,0.0144,0.691,0.0146,1.4251,0.0293
0.3,"standard","L4_aggressive","Fully-Aware-CF",1000,0.0361,0.0051,0.0376,0.054,1.4356,0.99,0.0031,0.037,0.006,1.4251,0.0293
0.3,"standard","L4_aggressive","Partially-Aware",1000,0.0361,0.0834,0.145,0.0185,0.1275,0.245,0.0136,0.739,0.0139,1.4251,0.0293
0.3,"standard","L4_aggressive","Non-Aware",1000,0.0361,0.0445,0.0748,0.0139,0.1859,0.227,0.0132,0.828,0.0119,1.4251,0.0293
